,index,name,metal_complex,SMILES,max_absorption_peak,max_emission_peak,solvant_spectrum,molar_extinction_coefficient,quantum_yield_fluorescence,max_phosphorescence_peak,quantum_yield_singlet_oxygen,solvant_quantum_yield,energy_level_exited_triplet_state,energy_level_HUMO,energy_level_LUMO,difference_HOMO_and_LUMO,method_for_HOMO/LUMO,all_absoption_peaks,reference_DOI
1191,3_5,DA-chitin/mTCPP,FALSE,[H][c](C(C=C9)=CC=C9/C(C2=CC=C(/C(C7=CC=C(C([H])=O)C=C7)=C3/C=CC4=N3)N2)=C1/N=C(\C(C8=CC=C(C([H])=O)C=C8)=C(C=C6)/N/C6=C4/C5=CC=C(C(NC)=O)C=C5)C=C1)=O.[*][C@@H]%10O[C@@H](CO)[C@@H](O[C@@H]%11OC(CO)[C@@H](O[*])[C@H](O)[C@H]%11NC(C)=O)C(O)C%10,526,,DMA,,,,0.09,DMA,,,,,," 526, 564, 598,  658",10.1021/acs.biomac.8b00605
1192,3_6,Cu/DA-chitin/mTCPP,TRUE,[Cu][c](C(C=C9)=CC=C9/C(C2=CC=C(/C(C7=CC=C(C([Cu])=O)C=C7)=C3/C=CC4=N3)N2)=C1/N=C(\C(C8=CC=C(C([Cu])=O)C=C8)=C(C=C6)/N/C6=C4/C5=CC=C(C(NC)=O)C=C5)C=C1)=O.[*][C@@H]%10O[C@@H](CO)[C@@H](O[C@@H]%11OC(CO)[C@@H](O[*])[C@H](O)[C@H]%11NC(C)=O)C(O)C%10,549,,DMA,,,,0.1,DMA,,,,,," 526, 564, 598,  658",10.1021/acs.biomac.8b00605
1193,3_7,Gd/DA-chitin/mTCPP ,TRUE,[Gd][c](C(C=C9)=CC=C9/C(C2=CC=C(/C(C7=CC=C(C([Gd])=O)C=C7)=C3/C=CC4=N3)N2)=C1/N=C(\C(C8=CC=C(C([Gd])=O)C=C8)=C(C=C6)/N/C6=C4/C5=CC=C(C(NC)=O)C=C5)C=C1)=O.[*][C@@H]%10O[C@@H](CO)[C@@H](O[C@@H]%11OC(CO)[C@@H](O[*])[C@H](O)[C@H]%11NC(C)=O)C(O)C%10.C.C,526,,DMA,,,,0.1,DMA,,,,,," 526, 564, 598,  658",10.1021/acs.biomac.8b00605
1194,3_8,Zn/DA-chitin/mTCPP ,TRUE,[Zn][c](C(C=C9)=CC=C9/C(C2=CC=C(/C(C7=CC=C(C([Zn])=O)C=C7)=C3/C=CC4=N3)N2)=C1/N=C(\C(C8=CC=C(C([Zn])=O)C=C8)=C(C=C6)/N/C6=C4/C5=CC=C(C(NC)=O)C=C5)C=C1)=O.[*][C@@H]%10O[C@@H](CO)[C@@H](O[C@@H]%11OC(CO)[C@@H](O[*])[C@H](O)[C@H]%11NC(C)=O)C(O)C%10,526,,DMA,,,,0.08,DMA,,,,,," 526, 564, 598,  658",10.1021/acs.biomac.8b00605
1195,3_9,Fe/DA-chitin/mTCPP ,TRUE,[Fe][c](C(C=C9)=CC=C9/C(C2=CC=C(/C(C7=CC=C(C([Fe])=O)C=C7)=C3/C=CC4=N3)N2)=C1/N=C(\C(C8=CC=C(C([Fe])=O)C=C8)=C(C=C6)/N/C6=C4/C5=CC=C(C(NC)=O)C=C5)C=C1)=O.[*][C@@H]%10O[C@@H](CO)[C@@H](O[C@@H]%11OC(CO)[C@@H](O[*])[C@H](O)[C@H]%11NC(C)=O)C(O)C%10,526,,DMA,,,,0.09,DMA,,,,,," 526, 564, 598,  658",10.1021/acs.biomac.8b00605
1196,3_10,SnNCP ,TRUE,Cl[Sn]136(Cl)N5C(C=CC5=C(C%10=CC=CC=C%10)C9=[N]6C(C=C9)=C7C8=CC=CC=C8)=C(C%12=CC=CC=C%12)C(C=C4)=[N]1C4=C(C%11=CC=CC=C%11)C2=CNC7=C23,444,,DMSO,392000,,,0.72,DMSO,,,,,,"444,523,558,681,740",10.1039/d0dt03296d
1197,3_11,SnTPP,TRUE,Cl[Sn]136(Cl)N5C(C=CC5=C(C%10=CC=CC=C%10)C9=[N]6C(C=C9)=C7C8=CC=CC=C8)=C(C%12=CC=CC=C%12)C(C=C4)=[N]1C4=C(C%11=CC=CC=C%11)C2=CC=C7N23,427,,DMSO,436000,,,0.61,DMSO,,,,,,427 562 602,10.1039/d0dt03296d
1198,3_12,TPYR-PP,FALSE,[H]N1C3=CC=C1C(c9ccncc9)C2C=CC(/C(c8ccc(OCCCCCCCCCCCCCCCC)cc8)=C6/C=C/C(N6[H])=C(c7ccncc7)/C5=NC(C=C5)C3c4ccncc4)=N2,515,652,toluene,180000,,,0.82,toluene,,,,,,647 591 549 515 420 ,10.1016/j.jphotobiol.2005.12.011
1199,3_13,C16TTP,FALSE,[H]N1C3=CC=C1C(c9ccc(OCCCCCCCCCCCCCCCC)cc9)C2C=CC(/C(c8ccc(C)cc8)=C6/C=C/C(N6[H])=C(c7ccc(C)cc7)/C5=NC(C=C5)C3c4ccc(C)cc4)=N2,526,655,toluene,190000,,,0.66,toluene,,,,,,650 593 552 526 420 ,10.1016/j.jphotobiol.2005.12.011
1200,3_14,TPP,TRUE,C6%10=[N]2C(C=C6)=C(C%12=CC=CCC%12)C1=CC=C4N1[Zn](N9C(C=CC9=C%10C%11=CC=CC=C%11)=C7C8=CC=CC=C8)2[N]3=C7C=CC3=C4C5=CC=CC=C5,420,,DPBF,,,,,,,-5.11494,-2.116612,-2.998328,theoretical,420,10.1002/slct.201803654
1201,3_15,TPP-NO2,TRUE,O=[N+](C(C=C%12)=CC=C%12C3=C(N89)C=CC8=C(C%10=CC=CC=C%10)C7=[N]2C(C=C7)=C(C%11=CC=CCC%11)C1=CC=C5N1[Zn]92[N]4=C3C=CC4=C5C6=CC=CC=C6)[O-],420,,DPBF,,,,,,,-5.35874,-2.46659,-2.89215,theoretical,420,10.1002/slct.201803654
1202,3_16,BHPP,TRUE,CCCCCCCCCCCCCCCCOC1=CC(C4=C2C=CC7=[N]2[Zn]([N]5=C9C=CC5=C6)(N8C(C=CC8=C9C%10=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C%10)=C7)N3C6=CC=C34)=CC(OCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCC,410,,DPBF,,,,,,,-5.20146,-2.09844,-3.10302,theoretical,410,10.1002/slct.201803654
1203,3_17,EBHPP,TRUE,C#CC(C2=CC=C5N2[Zn](N8C(C=CC8=C9C%10=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C%10)=C7C#C)3[N]4=C7C=CC4=C5C6=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C6)=C1[N]3=C9C=C1,430,,DPBF,,,,,,,-5.22731,-2.49189,-2.73542,theoretical,430,10.1002/slct.201803654
1204,3_18,CEBHPP,TRUE,CCCCCCCCCCCCCCCCOC(C(OCCCCCCCCCCCCCCCC)=C%11)=C(OCCCCCCCCCCCCCCCC)C=C%11C4=C(C=C9)N3C9=C(C#CC%12=CC=C(C(O)=O)C=C%12)C(C=C8)=[N]2C8=C(C%10=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C%10)C1=CC=C6N1[Zn]23[N]5=C4C=CC5=C6C#CC7=CC=C(C(O)=O)C=C7,440,,DPBF,,,,,,,-5.38377,-2.95392,-2.42985,theoretical,440,10.1002/slct.201803654
1205,3_19," 5-(4-(2-Hydroxyethylthio)-2,3,5,6-Tetrafluorophenyl)-10,15,20-Tris(Pentafluorophenyl)Porphyrin ",FALSE,FC1=C(SCCO)C(F)=C(F)C(/C3=C2/N=C(\C(C9=C(F)C(F)=C(F)C(F)=C9F)=C(C=C5)/N/C5=C(C7=C(F)C(F)=C(F)C(F)=C7F)\C(C=C6)[N]/C6=C(C8=C(F)C(F)=C(F)C(F)=C8F)\C4=CC=C3N4)C=C2)=C1F,412,637,DMSO,299000,,,0.66,DMSO,,,,,,412.0  505.5  536   579.5 ,10.1016/j.jphotobiol.2016.07.006
1206,3_20,"5,15-Bis(4-(2-Hydroxyethylthio)-2,3,5,6-Tetrafluorophenyl)-10,20-Bis(Pentafluorophenyl)Porphyrin",FALSE,FC1=C(SCCO)C(F)=C(F)C(/C3=C2/N=C(\C(C9=C(F)C(F)=C(F)C(F)=C9F)=C(C=C5)/N/C5=C(C7=C(F)C(F)=C(F)C(F)=C7F)\C(C=C6)[N]/C6=C(C8=C(F)C(F)=C(SCCO)C(F)=C8F)\C4=CC=C3N4)C=C2)=C1F,413.5,638,DMSO,320000,,,0.64,DMSO,,,,,,413.5  506.0   538  580.0 ,10.1016/j.jphotobiol.2016.07.006
1207,3_21,"5,10-Bis(4-(2-Hydroxyethylthio)-2,3,5,6-Tetrafluorophenyl)-15,20-Bis(Pentafluorophenyl)Porphyrin",FALSE,FC1=C(SCCO)C(F)=C(F)C(/C3=C2/N=C(\C(C9=C(F)C(F)=C(F)C(F)=C9F)=C(C=C5)/N/C5=C(C7=C(F)C(F)=C(SCCO)C(F)=C7F)\C(C=C6)[N]/C6=C(C8=C(F)C(F)=C(F)C(F)=C8F)\C4=CC=C3N4)C=C2)=C1F,413,638,DMSO,322000,,,0.68,DMSO,,,,,,413.0   506.0   537   580.5  ,10.1016/j.jphotobiol.2016.07.006
1208,3_22,"5,10,15-Tris(4-(2-Hydroxyethylthio)-2,3,5,6-Tetrafluorophenyl)-20-Pentafluorophenylporphyrin",FALSE,FC1=C(SCCO)C(F)=C(F)C(/C3=C2/N=C(\C(C9=C(F)C(F)=C(F)C(F)=C9F)=C(C=C5)/N/C5=C(C7=C(F)C(F)=C(SCCO)C(F)=C7F)\C(C=C6)[N]/C6=C(C8=C(F)C(F)=C(SCCO)C(F)=C8F)\C4=CC=C3N4)C=C2)=C1F,414.5,639,DMSO,334000,,,0.65,DMSO,,,,,,414.5 506.5  538 581.0 ,10.1016/j.jphotobiol.2016.07.006
1209,3_23,"5,10,15,20-Tetrakis(4-(2-Hydroxyethylthio)-2,3,5,6-Tetrafluorophenyl) Porphyrin",FALSE,FC1=C(SCCO)C(F)=C(F)C(/C3=C2/N=C(\C(C9=C(F)C(F)=C(SCCO)C(F)=C9F)=C(C=C5)/N/C5=C(C7=C(F)C(F)=C(SCCO)C(F)=C7F)\C(C=C6)[N]/C6=C(C8=C(F)C(F)=C(SCCO)C(F)=C8F)\C4=CC=C3N4)C=C2)=C1F,415.5,640,DMSO,333000,,,0.55,DMSO,,,,,,415.5  507.0  539   581.5 ,10.1016/j.jphotobiol.2016.07.006
1210,3_24,MPP,FALSE,C2(\C(CCCCCN8CCOCC8)=C(C=C6)/N/C6=C4CCCCCN5CCOCC5)=N/C(C=C2)=C(CCCCCN7CCOCC7)\C1=CC=C(/C(CCCCCN9CCCCC9)=C3/C=CC\4=N3)N1,421,,DMSO,,,,0.56,DMF,,,,,,421 522 548 596 648,10.1007/s13277-015-4576-7
1211,3_25,PTPM-2Py (1).,TRUE,[H]C(C=C%12)=CC=C%12C5=C1C=CC2=[N]1[Zn](N4C8=CC=C45)7N6C(C=CC6=C(C#CC%11=CC=C(N(C%14=CC=C(/C=C/CC%15=CC=NC=C%15)C=C%14)C%13=CC=C(/C=C/CC%16=CC=NC=C%16)C=C%13)C=C%11)C%10=[N]7C(C=C%10)=C8C9=CC=C([H])C=C9)=C2C3=CC=C([H])C=C3,448,,DMSO,160000,,,0.8,DMF,,,,,,448  580 634 ,10.1021/jo402658h
1212,3_26,PTP-2Py (2),FALSE,[H]C(C=C%12)=CC=C%12C5=C1C=CC2=[N]1[2H](N4C8=CC=C45)7N6C(C=CC6=C(C#CC%11=CC=C(N(C%14=CC=C(/C=C/CC%15=CC=NC=C%15)C=C%14)C%13=CC=C(/C=C/CC%16=CC=NC=C%16)C=C%13)C=C%11)C%10=[N]7C(C=C%10)=C8C9=CC=C([H])C=C9)=C2C3=CC=C([H])C=C3,435,,DMSO,210000,,,0.64,DMF,,,,,,376   435  521   580  669 ,10.1021/jo402658h
1213,3_27,PTPM-2Bzim,TRUE,[H]C(C=C%12)=CC=C%12C5=C1C=CC2=[N]1[Zn](N4C8=CC=C45)7N6C(C=CC6=C(C#CC%11=CC=C(N(C%14=CC=C(/C=C/CC%15=NC(C=CC=C%18)=C%18[N]%15)C=C%14)C%13=CC=C(/C=C/CC%16=NC(C=CC=C%17)=C%17[N]%16)C=C%13)C=C%11)C%10=[N]7C(C=C%10)=C8C9=CC=C([H])C=C9)=C2C3=CC=C([H])C=C3,446,,DMSO,359300,,,0.47,DMF,,,,,,380  446 584  634  ,10.1021/jo402658h
1214,3_28,PTPM(OTEG)-2Py ,TRUE,COCCOCCOCCOCC(C=C%12)=CC=C%12C(C2=CC=C5N2[Zn]43N8C(C=CC8=C9C#CC%10=CC=C(N(C%14=CC=C(/C=C/CC%15=CC=NC=C%15)C=C%14)C%13=CC=C(/C=C/CC%16=CC=NC=C%16)C=C%13)C=C%10)=C(C%11=CC=C(COCCOCCOCCOC)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(COCCOCCOCCOC)C=C6)=C1[N]3=C9C=C1,451,,DMSO,228800,,,0.74,DMF,,,,,,451 582  632  ,10.1021/jo402658h
1215,3_29,PTPM(DEGMan(OH)4)3-2Py,TRUE,CO.CO.CO.O[C@H]%18C[C@@H](OC(CO)[C@H]%18O)OCCOCCOCC(C=C%12)=CC=C%12C(C2=CC=C5N2[Zn]43N8C(C=CC8=C9C#CC%10=CC=C(N(C%15=CC=C(/C=C/CC%16=CC=NC=C%16)C=C%15)C%14=CC=C(/C=C/CC%17=CC=NC=C%17)C=C%14)C=C%10)=C(C%11=CC=C(COCCOCCO[C@@H]%19OC(CO)[C@@H](O)[C@@H](O)C%19)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(COCCOCCO[C@@H]%13OC(CO)[C@@H](O)[C@@H](O)C%13)C=C6)=C1[N]3=C9C=C1,450,,DMSO,159200,,,0.84,DMF,,,,,,450  581  639  ,10.1021/jo402658h
1216,3_30,TCPP,TRUE,CC(C(C=C%12)=CC=C%12C(C2=CC=C5N2[2H]43N8C(C=CC8=C9C%10=CC=C(C([O-])=O)C=C%10)=C(C%11=CC=C(C([O-])=O)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(C([O-])=O)C=C6)=C1[N]3=C9C=C1)=O.[O-].[Na+].[Na+].[Na+].[Na+],416,650,ethanol,,,,,,,-5.32,-3.45,-1.87,electrochemistry,416 512 547 589 644,10.1021/acs.jpcc.5b12013
1217,3_31,[P66614]4[TCPP],TRUE,CCCCCC[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.CCCCCC[P+](CCCCCC)(CCCCCCCCCCCCCC)CCCCCC.CCCCCC[P+](CCCCCC)(CCCCCCCCCCCCCC)CCCCCC.CCCCCC[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.CC(C(C=C%12)=CC=C%12C(C2=CC=C5N2[2H]43N8C(C=CC8=C9C%10=CC=C(C([O-])=O)C=C%10)=C(C%11=CC=C(C([O-])=O)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(C([O-])=O)C=C6)=C1[N]3=C9C=C1)=O.[O-],416,650,ethanol,,,,,,,-5.4,-3.53,-1.87,electrochemistry,416 512 547 589 644,10.1021/acs.jpcc.5b12013
1218,3_32,Zn-TCPP,TRUE,CC(C(C=C%12)=CC=C%12C(C2=CC=C5N2[Zn]43N8C(C=CC8=C9C%10=CC=C(C([O-])=O)C=C%10)=C(C%11=CC=C(C([O-])=O)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(C([O-])=O)C=C6)=C1[N]3=C9C=C1)=O.[O-].[Na+].[Na+].[Na+].[Na+],422,600,ethanol,,,,,,,-5.33,-3.33,-2,electrochemistry,422 556 596,10.1021/acs.jpcc.5b12013
1219,3_33,[P66614]4[Zn-TCPP],TRUE,CCCCCC[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.CCCCCC[P+](CCCCCC)(CCCCCCCCCCCCCC)CCCCCC.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCC[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC.CC(C(C=C%12)=CC=C%12C(C2=CC=C5N2[Zn]43N8C(C=CC8=C9C%10=CC=C(C([O-])=O)C=C%10)=C(C%11=CC=C(C([O-])=O)C=C%11)C(C=C7)=[N]4C7=C5C6=CC=C(C([O-])=O)C=C6)=C1[N]3=C9C=C1)=O.[O-],422,600,ethanol,,,,,,,-5.56,-3.55,-2.01,electrochemistry,422 556 596,10.1021/acs.jpcc.5b12013
1220,3_34,S P P C L -b-PNIPAAm ,FALSE,O=C(CCCCCOC(CCSC(SC(CCC%10=CC=CC=C%10)C(NC(C)C)=O)=S)=O)OCCOC(C=C9)=CC=C9\C(C(C=C5)=N/C5=C3C4=CC=C(OCCOC(CCCCCOC(CCSC(SC(CCC%11=CC=CC=C%11)C(NC(C)C)=O)=S)=O)=O)C=C4)=C(N6)/C=C/C6=C(C7=CC=C(OCCOC(CCCCCOC(CCSC(SC(CCC%12=CC=CC=C%12)C(NC(C)C)=O)=S)=O)=O)C=C7)/C2=N/C(C=C2)=C(C8=CC=C(OCCOC(CCCCCOC(CCSC(SC(CCC%13=CC=CC=C%13)C(NC(C)C)=O)=S)=O)=O)C=C8)\C1=CC=C\3N1,456,,DPBF,,,,0.117,DMF,,,,,,456,10.1007/s10965-014-0412-9
1221,3_35,P1,FALSE,C[N+](C=C8)=CC=C8\C(C(C=C5)=N/C5=C3C4=CC=[N+](C)C=C4)=C(N6)/C=C/C6=C(C9=CC=C(Cl)C=C9)/C2=N/C(C=C2)=C(C7=CC=[N+](C)C=C7)\C1=CC=C\3N1.[I-].[I-].[I-],425,,DMSO,,,,0.74,DPBF,,,,,,452 517 552 588 628,10.1002/aoc.6598
1222,3_36,P2,FALSE,C[N+](C=C8)=CC=C8\C(C(C=C5)=N/C5=C3C4=CC=[N+](C)C=C4)=C(N6)/C=C/C6=C(C9=CC=C(Br)C=C9)/C2=N/C(C=C2)=C(C7=CC=[N+](C)C=C7)\C1=CC=C\3N1.[I-].[I-].[I-],425,,DMSO,,,,0.93,DPBF,,,,,,425 518 552 590 627 ,10.1002/aoc.6598
1223,3_37,ZnP1,TRUE,C[N+](C=C%11)=CC=C%11C3=C(N89)C=CC8=C(C%12=CC=C(Br)C=C%12)C7=[N]2C(C=C7)=C(C%10=CC=[N+](C)C=C%10)C1=CC=C5N1[Zn]92[N]4=C3C=CC4=C5C6=CC=[N+](C)C=C6.[I-].[I-].[I-],438,,DMSO,,,,1.25,DPBF,,,,,,438 546 606,10.1002/aoc.6598
1224,3_38,ZnP2,TRUE,C[N+](C=C%11)=CC=C%11C3=C(N89)C=CC8=C(C%12=CC=C(Br)C=C%12)C7=[N]2C(C=C7)=C(C%10=CC=[N+](C)C=C%10)C1=CC=C5N1[Cu]92[N]4=C3C=CC4=C5C6=CC=[N+](C)C=C6.[I-].[I-].[I-],428,,DMSO,,,,0.16,DPBF,,,,,,428 549 581,10.1002/aoc.6598
1225,3_39,DPP-ZnP-(GdDOTA)2,TRUE,COCCOCCOCCOC1=CC(OCCOCCOCCOC)=CC(C5=C(C=C%10)N3C%10=C(C#CC%11=CC=C(C(N(CCOCCOC)C%14=O)=C%13C%14=C(C%15=CC=CC=C%15)N(CCOCCOC)C%13=O)C=C%11)C(C=C9)=[N]4C9=C(C%12=CC(OCCOCCOCCOC)=CC(OCCOCCOCCOC)=C%12)C2=CC=C7N2[Zn]34[N]6=C5C=CC6=C7C#CC8=CC(NC(CCC%16C(O[M]%17%18%19([OH2])(OC%23=O)([0]C%22=O)([0]C%21=[0])[N@]%20%16CC[N@](C%21)%17CC[N@](C%22)%18CC[N@](C%23)%19CC%20)=O)=O)=CC(NC(CCC%24C(O[M]%25%26%27(OC%31=O)([0]C(C%30)=O)([0]C%29=[0])([OH2])[N@]%28%24CC[N@](C%29)%25CC[N@]%30%26CC[N@](C%31)%27CC%28)=O)=O)=C8)=C1.C.C.C,455,684,DMSO,179000,0.13,,0.58,DMSO,,,,,,456 517 589 617 668,10.1021/acs.inorgchem.0c02189
1226,3_39,DPP-ZnP-(GdDOTA)2,TRUE,COCCOCCOCCOC1=CC(OCCOCCOCCOC)=CC(C5=C(C=C%10)N3C%10=C(C#CC%11=CC=C(C(N(CCOCCOC)C%14=O)=C%13C%14=C(C%15=CC=CC=C%15)N(CCOCCOC)C%13=O)C=C%11)C(C=C9)=[N]4C9=C(C%12=CC(OCCOCCOCCOC)=CC(OCCOCCOCCOC)=C%12)C2=CC=C7N2[Zn]34[N]6=C5C=CC6=C7C#CC8=CC(NC(CCC%16C(O[M]%17%18%19([OH2])(OC%23=O)([0]C%22=O)([0]C%21=[0])[N@]%20%16CC[N@](C%21)%17CC[N@](C%22)%18CC[N@](C%23)%19CC%20)=O)=O)=CC(NC(CCC%24C(O[M]%25%26%27(OC%31=O)([0]C(C%30)=O)([0]C%29=[0])([OH2])[N@]%28%24CC[N@](C%29)%25CC[N@]%30%26CC[N@](C%31)%27CC%28)=O)=O)=C8)=C1.C.C.C,453,666,H2O,153000,0.0047,,0.58,DMSO,,,,,,455 540 670,10.1021/acs.inorgchem.0c02189
1227,3_40,Porphyrin1,TRUE,[H]C(C(OCCOCCO)=C%12)=C(OCCOCCO)C=C%12C(C2=CC=C5N2[Zn](N9C(C=CC9=C%10C%11=CC(OOCCOCCO)=CC(OOCCOCCO)=C%11)=C7C8=CC=C(Br)C=C8)3[N]4=C7C=CC4=C5C6=CC(OOCCOCCO)=CC(OOCCOCCO)=C6)=C1[N]3=C%10C=C1,430,660,MeOH,630000,9.6,,0.65,DMF,,,,,,430 560,10.1039/c5ob01435b
1228,3_40,Porphyrin1,TRUE,[H]C(C(OCCOCCO)=C%12)=C(OCCOCCO)C=C%12C(C2=CC=C5N2[Zn](N9C(C=CC9=C%10C%11=CC(OOCCOCCO)=CC(OOCCOCCO)=C%11)=C7C8=CC=C(Br)C=C8)3[N]4=C7C=CC4=C5C6=CC(OOCCOCCO)=CC(OOCCOCCO)=C6)=C1[N]3=C%10C=C1,430,,CHCl3,270000,7.1,,0.65,DMF,,,,,,430 560,10.1039/c5ob01435b
1229,3_41,Porphyrin2,TRUE,BrC(C([H])=C%12)=C([H])C=C%12C(C2=CC=C5N2[Zn](N9C(C=CC9=C%10C%11=CC(OOCCOCCO)=CC(OOCCOCCO)=C%11)=C7C8=CC=C(Br)C=C8)3[N]4=C7C=CC4=C5C6=CC(OOCCOCCO)=CC(OOCCOCCO)=C6)=C1[N]3=C%10C=C1,430,610,MeOH,350000,5.4,,0.78,DMF,,,,,,430 560,10.1039/c5ob01435b
1230,3_41,Porphyrin2,TRUE,BrC(C([H])=C%12)=C([H])C=C%12C(C2=CC=C5N2[Zn](N9C(C=CC9=C%10C%11=CC(OOCCOCCO)=CC(OOCCOCCO)=C%11)=C7C8=CC=C(Br)C=C8)3[N]4=C7C=CC4=C5C6=CC(OOCCOCCO)=CC(OOCCOCCO)=C6)=C1[N]3=C%10C=C1,430,,CHCl3,640000,5.4,,0.78,DMF,,,,,,430 560,10.1039/c5ob01435b
1231,3_42,OTT1P,FALSE,OCCOCCOOC1=CC(/C(C6=N/C(C=C6)=C4C5=CC=C(C%11=[S]C(C(C=C%21)=CC=C%21/C(C%13=CC=C%14N%13[Zn]N/%17/C(C=CC%17=C%18C%19=CC(OOCCOCCO)=CC(OOCCOCCO)=C%19)=C(C%20=CC(OOCCCCCO)=CC(OOCCOCCO)=C%20)\C(C=C%16)=N/C%16=C%14/C%15=CC(OOCCOCCO)=CC(OOCCOCCO)=C%15)=C%12/N=C\%18C=C%12)C=C%11)C=C5)=C(C=C8)/N3/C8=C(C9=CC(OOCCCCCO)=CC(OOCCOCCO)=C9)\C(C=C7)=N/C7=C(C%10=CC(OOCCOCCO)=CC(OOCCOCCO)=C%10)\C2=CC=C\4N2[Zn]3)=CC(OOCCOCCO)=C1,430,610,MeOH,130000,15.4,,0.8,DMF,,,,,,430 560,10.1039/c5ob01435b
1232,3_42,OTT1P,FALSE,OCCOCCOOC1=CC(/C(C6=N/C(C=C6)=C4C5=CC=C(C%11=[S]C(C(C=C%21)=CC=C%21/C(C%13=CC=C%14N%13[Zn]N/%17/C(C=CC%17=C%18C%19=CC(OOCCOCCO)=CC(OOCCOCCO)=C%19)=C(C%20=CC(OOCCCCCO)=CC(OOCCOCCO)=C%20)\C(C=C%16)=N/C%16=C%14/C%15=CC(OOCCOCCO)=CC(OOCCOCCO)=C%15)=C%12/N=C\%18C=C%12)C=C%11)C=C5)=C(C=C8)/N3/C8=C(C9=CC(OOCCCCCO)=CC(OOCCOCCO)=C9)\C(C=C7)=N/C7=C(C%10=CC(OOCCOCCO)=CC(OOCCOCCO)=C%10)\C2=CC=C\4N2[Zn]3)=CC(OOCCOCCO)=C1,430,,CHCl3,100000,14.9,,0.8,DMF,,,,,,430 560,10.1039/c5ob01435b
1233,3_43,OTT2P,TRUE,OCCOCCOOC1=CC(/C(C6=N/C(C=C6)=C4C5=CC=C(C%11=[S]C(C%12=[S]C(C(C=C%22)=CC=C%22/C(C%14=CC=C%15N%14[Zn]N/%18/C(C=CC%18=C%19C%20=CC(OOCCOCCO)=CC(OOCCOCCO)=C%20)=C(C%21=CC(OOCCCCCO)=CC(OOCCOCCO)=C%21)\C(C=C%17)=N/C%17=C%15/C%16=CC(OOCCOCCO)=CC(OOCCOCCO)=C%16)=C%13/N=C\%19C=C%13)C=C%12)C=C%11)C=C5)=C(C=C8)/N3/C8=C(C9=CC(OOCCCCCO)=CC(OOCCOCCO)=C9)\C(C=C7)=N/C7=C(C%10=CC(OOCCOCCO)=CC(OOCCOCCO)=C%10)\C2=CC=C\4N2[Zn]3)=CC(OOCCOCCO)=C1,430,610,MeOH,940000,6.8,,0.8,DMF,,,,,,430 560,10.1039/c5ob01435b
1234,3_43,OTT2P,TRUE,OCCOCCOOC1=CC(/C(C6=N/C(C=C6)=C4C5=CC=C(C%11=[S]C(C%12=[S]C(C(C=C%22)=CC=C%22/C(C%14=CC=C%15N%14[Zn]N/%18/C(C=CC%18=C%19C%20=CC(OOCCOCCO)=CC(OOCCOCCO)=C%20)=C(C%21=CC(OOCCCCCO)=CC(OOCCOCCO)=C%21)\C(C=C%17)=N/C%17=C%15/C%16=CC(OOCCOCCO)=CC(OOCCOCCO)=C%16)=C%13/N=C\%19C=C%13)C=C%12)C=C%11)C=C5)=C(C=C8)/N3/C8=C(C9=CC(OOCCCCCO)=CC(OOCCOCCO)=C9)\C(C=C7)=N/C7=C(C%10=CC(OOCCOCCO)=CC(OOCCOCCO)=C%10)\C2=CC=C\4N2[Zn]3)=CC(OOCCOCCO)=C1,430,,CHCl3,100000,5.7,,0.8,DMF,,,,,,430 560,10.1039/c5ob01435b
1235,3_44,PTTP,FALSE,[*]C1=CC=C(C2=CC=C(C(C=C%12)=CC=C%12/C(C4=CC=C5N4[Zn]N/8/C(C=CC8=C9C%10=CC(OCCOCCO)=CC(OCCOCCO)=C%10)=C(C%11=CC=C([*])C=C%11)\C(C=C7)=N/C7=C5/C6=CC(OCCOCCO)=CC(OCCOCCO)=C6)=C3/N=C\9C=C3)S2)S1,440,610,MeOH,,,,0.88,DMF,,,,,,440 560,10.1039/c5ob01435b
